lines	15882
Files	2
SCR 01176	['S(=O)(=O)(c1c[nH+]c(N2CCOCC2)cc1)NCc1nc(sc1)c1sccc1']	-5.186	-4.917
XBX 00093	['c1([C@@H](c2ccccc2)[NH3+])c2c(ccc1O)cccc2']	-6.886	-5.685
BTB 03180	['c1(oc2c(c1)cc(cc2)Cl)C(=O)CNc1cc(C(F)(F)F)cc(C(F)(F)F)c1']	-6.267	-5.732
HTS 01575	['n1c(cc(n1C(C)(C)C)C)C(=O)NNC(=O)c1c(C)[nH+]c(C(F)(F)F)cc1']	-5.012	-4.62
S 06326	['C(=S)(Nc1c(cc(cc1)F)C)N/N=C/c1sccc1']	-6.173	-5.065
HTS 10698	['c1(C(=O)NCc2occc2)cscc1']	-7.922	-6.614
HTS 01576	['n1c(cc(n1C(C)(C)C)C)C(=O)NNC(=O)C1CCN(c2nc(C(F)(F)F)ccn2)CC1']	-3.689	-4.501
S 06451	['n12c(c(c(n2)C)C(=O)OCC)[nH]nc1c1c[nH+]ccc1']	-6.194	-6.309
HTS 01570	['n1c(scc1C(C)(C)C)NNC(=O)c1ccc(cc1)Cl']	-6.01	-5.963
SPB 05765	['c1(C(=S)N)c[nH+]c(cc1)OC']	-6.116	-5.552
HTS 10693	['N1=C(CC(=Nc2c1cccc2)c1ccccc1)c1ccccc1']	-5.543	-7.032
NRB 03620	['S1(=O)(=O)N(C(=O)c2c(N1Cc1ccccc1)cccc2)C(C)C']	-7.13	-4.435
SPB 05769	['c1(nc(cs1)c1ccc(C#N)cc1)c1c(C(F)(F)F)cc[nH+]c1']	-6.767	-6.323
NRB 03626	['[C@@]12(c3nc4c(c(c3)C(=O)OCC)cccc4)C[C@H]3C[C@@H](C1)C[C@@H](C2)C3']	-7.401	-6.067
FM 00162	['c1(c(=C(C#N)C#N)[nH]c(cc1c1ccc(cc1)OC)c1c(cc(cc1)OC)O)C#N']	-5.954	-7.59
HTS 03623	['c1(nc(on1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1)c1sccc1']	-6.518	-4.601
HTS 03627	['c1(nc(on1)C[N@@H+]1CC[C@@H](C(=O)N)CC1)c1sccc1']	-7.292	-5.924
SEW 01466	['N(=C(\\c1ccc(C(C)(C)C)cc1)/N)/OC(=O)CCOc1ccc(F)cc1']	-7.609	-6.801
HTS 03625	['c1(nc(on1)C[NH2+]C1Cc2c(C1)cccc2)c1sccc1']	-6.758	-6.345
NRB 01171	['C(=NC#N)(NC1CCCCC1)NC1CCCCC1']	-6.917	-5.357
KM 03098	['S(=O)(=O)(c1sc(cc1)Cl)NNC(=O)CSCCS(=O)(=O)c1ccccc1']	-6.938	-5.08
KM 03099	['S(=O)(=O)(CCSCC(=O)NNC(=O)Nc1ccccc1)c1ccccc1']	-6.839	-5.931
SEW 05556	['S(=O)(=O)(CS(=O)(=O)C)[N-]c1cc(OC(F)(F)F)ccc1']	-5.98	-5.235
SPB 01423	['[nH]1c(nnc1S)c1ccc(C(F)(F)F)cc1']	-6.969	-6.277
KM 03090	['S(=O)(=O)(CCSCC(=O)N/N=C/c1cscc1)c1ccccc1']	-7.394	-6.21
SEW 05558	['S(=O)(=O)(CS(=O)(=O)C)NNc1c(cc(C(F)(F)F)c[nH+]1)Cl']	-6.361	-6.075
KM 03094	['S(=O)(=O)(/C(=C/Nc1cc(c(cc1)F)Cl)/C#N)Cc1occc1']	-6.846	-7.049
HR 00046	['C(=S)(N[C@H]1[C@@H]2C[C@H](C1)CC2)NCCc1cccc[nH+]1']	-7.213	-4.698
HTS 12127	['c1(c(c2c(o1)nc(cc2c1sccc1)c1ccccc1)N)C(=O)OCC']	-6.826	-7.28
JFD 03654	['c1(c(O)cccc1)/C=N/CC/N=C/c1c(O)cccc1']	-7.355	-6.671
BTB 02719	['C(=O)(c1c(F)cccc1Cl)Nc1c(C(=O)Nc2ccc(F)cc2)cc(cc1)C']	-5.748	-6.148
RJC 01218	['N(c1nccs1)C(=O)C(=O)/C=C(\\O)/c1ccccc1']	-5.519	-5.857
SPB 08066	['n1(c(nnc1SCC(=O)c1ccccc1)c1occc1)c1cc2c(OCCO2)cc1']	-9.21	-6.81
AW 01257	['c1(C(=O)N2CCN(C(=O)OC(C)(C)C)CC2)oc(cc1)Oc1c[nH+]ccc1']	-6.983	-5.46
AW 01254	['c1(c(oc(c1)c1ccccc1)N)C#N']	-7.733	-6.576
GK 03246	['n1(c2c(NC(=O)Nc3ccc(Cl)cc3)cc(c(c2)OC)OC)c(ccc1C)C']	-4.95	-6.277
CD 04318	['C(c1cc(C(F)(F)F)cc(C#CC[NH+]2CCOCC2)c1)(F)(F)F']	-6.539	-6.256
CD 09149	['c1(n2c(ccc2C)C)noc(c1)C']	-6.543	-6.028
SPB 05501	['c12c(c(c(s1)C(=O)NN)C)c(nc(n2)c1c(OC)cccc1)C']	-6.999	-7.485
BTB 02050	['C(=O)(Nc1ccc(C(F)(F)F)cc1)[C@H](c1ccccc1)CC']	-5.234	-4.714
BTB 02051	['C(=O)(Nc1cc(c(cc1OC)Cl)OC)[C@@H](c1ccccc1)CC']	-6.075	-5.372
CD 04317	['C(c1cc(C(F)(F)F)cc(C#CC[NH+]2CCCC2)c1)(F)(F)F']	-6.002	-6.837
CD 04640	['C(=O)(c1c(F)cccc1F)Oc1c[nH+]ccc1']	-6.896	-5.776
